date,region,product_category,product,channel,units_sold,revenue,cost,discount_pct,customer_satisfaction
2024-01-15,North,Electronics,Laptop,Online,45,67500.00,40500.00,10,4.2
2024-01-15,North,Electronics,Phone,Store,120,60000.00,36000.00,5,4.5
2024-01-15,South,Clothing,T-Shirt,Online,300,4500.00,1500.00,15,3.8
2024-01-15,South,Clothing,Jacket,Store,80,12000.00,6400.00,0,4.1
2024-01-15,East,Electronics,Tablet,Online,65,32500.00,19500.00,8,4.3
2024-01-15,West,Food,Coffee,Store,500,2500.00,1000.00,0,4.7
2024-02-15,North,Electronics,Laptop,Online,52,78000.00,46800.00,12,4.1
2024-02-15,North,Clothing,Jacket,Online,40,6000.00,3200.00,20,3.5
2024-02-15,South,Electronics,Phone,Store,110,55000.00,33000.00,5,4.4
2024-02-15,South,Food,Coffee,Online,450,2250.00,900.00,0,4.6
2024-02-15,East,Clothing,T-Shirt,Store,280,4200.00,1400.00,10,3.9
2024-02-15,West,Electronics,Tablet,Store,70,35000.00,21000.00,0,4.2
2024-03-15,North,Food,Coffee,Online,600,3000.00,1200.00,5,4.8
2024-03-15,North,Electronics,Phone,Online,130,65000.00,39000.00,8,4.3
2024-03-15,South,Electronics,Laptop,Store,38,57000.00,34200.00,0,4.0
2024-03-15,South,Clothing,Jacket,Online,90,13500.00,7200.00,15,3.7
2024-03-15,East,Food,Coffee,Store,480,2400.00,960.00,0,4.9
2024-03-15,East,Electronics,Tablet,Online,55,27500.00,16500.00,10,4.1
2024-03-15,West,Clothing,T-Shirt,Online,320,4800.00,1600.00,12,3.6
2024-03-15,West,Electronics,Phone,Store,100,50000.00,30000.00,5,4.4
2024-04-15,North,Electronics,Laptop,Store,48,72000.00,43200.00,5,4.3
2024-04-15,North,Food,Coffee,Store,550,2750.00,1100.00,0,4.7
2024-04-15,South,Clothing,T-Shirt,Store,350,5250.00,1750.00,8,4.0
2024-04-15,South,Electronics,Tablet,Online,75,37500.00,22500.00,10,4.2
2024-04-15,East,Electronics,Phone,Online,115,57500.00,34500.00,5,4.5
2024-04-15,East,Clothing,Jacket,Store,60,9000.00,4800.00,0,4.3
2024-04-15,West,Food,Coffee,Online,520,2600.00,1040.00,0,4.6
2024-04-15,West,Electronics,Laptop,Online,42,63000.00,37800.00,15,3.9
2024-05-15,North,Clothing,T-Shirt,Online,290,4350.00,1450.00,10,3.7
2024-05-15,North,Electronics,Tablet,Store,60,30000.00,18000.00,0,4.4
2024-05-15,South,Food,Coffee,Store,470,2350.00,940.00,5,4.8
2024-05-15,South,Electronics,Phone,Online,125,62500.00,37500.00,8,4.2
2024-05-15,East,Electronics,Laptop,Online,50,75000.00,45000.00,10,4.1
2024-05-15,East,Clothing,T-Shirt,Store,310,4650.00,1550.00,12,3.8
2024-05-15,West,Clothing,Jacket,Online,85,12750.00,6800.00,18,3.4
2024-05-15,West,Electronics,Phone,Store,95,47500.00,28500.00,0,4.5
